,paper_id,author_id,impact_factor,key0,key1,key2,key3,key4,key5,reference_times
124,125,3,,markov processes,data transfer,computational modeling,benchmark testing,hardware,,8.0
125,126,4,,network distance ,domain tree ,distribute storage system ,cluster leaf ,transit node ,,
126,127,5,3.5989999999999998,visualization,image reconstruction,stacking,cryptography,decoding,vectors ,42.0
127,128,6,,disk failure,smart data,hidden markov model ,hidden semi-markov model,data mining,,26.0
128,129,7,0.772,entity and relation recognition,knowledge representation,information extraction,,,,4.0
129,130,8,,support vector machines, support vector machine classification,emotion recognition,hidden markov models,spatial databases,speaker recognition,115.0
130,131,9,,,,,,,,
131,132,10,1.405,small screen devices,interest blocks,implicit evidence ,machine learning ,,,10.0
132,133,11,,,,,,,,
133,134,12,2.312,algorithms,conceptual modeling,data model extensions,database design and models,document preparation,semantic networks,126.0
134,135,13,1.521,ip networks,educational institutions,tunneling,large-scale systems,routing,web and internet services,33.0
135,136,14,3.3760000000000003,algorithms,buffered crossbar,fiber distributed data interface (fddi),interconnect,model development and analysis,scheduling,60.0
136,137,15,2.677,wireless sensor network,energy,scheduling,collaboration,distribution,,5.0
137,138,16,2.472,soft computing,,,,,,1.0
138,139,17,5.0,machine learning,,,,,,16.0
139,140,18,,enterprise networks,network management,system management,virtual disks,,,14.0
140,141,19,0.27399999999999997,high-frequency effect,inductance modeling,parasitic extraction,partial reluctance,power/ground grid,,4.0
141,142,20,4.181,peer to peer computing,optimal scheduling,streaming media,internet,scheduling algorithm,video coding,98.0
142,143,21,2.444,computer aided design,curve fitting,de boor's algorithm,b-spline,,,50.0
143,144,22,,real-time ultrasonic imaging,,,,,,2.0
144,145,23,1.25,grid environment,resource discovery mechanism,,,,,3.0
145,146,24,1.092,pattern matching,very large scale integration technology,,,,,17.0
146,147,25,3.52,modeling,computational modeling,system-on-a-chip,web and internet services ,data models,xml,20.0
147,148,26,,distributed computing,grid computing,data models,application software,web server,file servers,4.0
148,149,27,2.448,bioinformatics,algorithm,artificial intelligence,dna microarray,natural language processing,,11.0
149,150,28,,software as services,distributed storage ,application virtualization ,,,,1.0
150,151,29,2.516,computer network, active queue management,,,,,27.0
151,152,30,1.133,load balancing,,,,,,29.0
152,153,31,,peer to peer computing,financial management,application software,mechanical factors,resource management,delay,2.0
153,154,32,4.529,artificial intelligence,,,,,,7.0
154,155,33,,graph ,grid,,,,,82.0
155,156,34,,,,,,,,
156,157,35,,virtual machining,computer languages,service oriented architecture,web services,computer architecture,,13.0
157,158,36,,dynamic bayesian network,dynamic context,microphone array,lower level event ,group scenario ,,16.0
158,159,37,,,,,,,,
159,160,38,1.0,hardware architecture,electrical,electronic,,,,2.0
160,161,39,1.954,software engineering,simulation modelling,,,,,26.0
161,162,40,,large-scale systems,dynamic programming,delay,information science,software systems,,2.0
162,163,41,1.954,software engineering,simulation modelling,,,,,6.0
163,164,42,5.68,power system transients,computational modeling,parallel processing,real time systems,analytical models ,,72.0
164,165,43,3.3760000000000003,communication hardware,data center network ,distributed architectures,networks,,,6.0
165,166,44,,cloud computing,distributed architectures,job scheduling,management,resource provisioning,,34.0
166,167,45,8.085,computer network security,string matching,finite automata,ip networks,memory architecture ,,89.0
167,168,46,0.956,floorplanning,corner block list,l/t-shaped blocks,,,,3.0
168,169,47,,pervasive computing ,pilot system,request size,dynamic host configuration protocol ,smart classroom ,,96.0
169,170,48,4.181,peer-to-peer computing,mathematical model,estimation,analytical models,,,16.0
170,171,49,,design methodology,pattern analysis,wavelet analysis,nonlinear equations,,,
171,172,50,,computer architecture,bandwidth,internet,scheduling algorithm,,,10.0
172,173,51,,linguistic,,,,,,4.0
173,174,52,,,,,,,,
174,175,53,4.181,data migration, metadata,data processing,computer crashes ,,,
175,176,54,1.942,power grids,circuit simulation and analysis,interconnect,power delivery ,,,23.0
176,177,55,,web search,data mining,,,,,14.0
177,178,56,4.797,artificial intelligence,information science,systems modeling,,,,43.0
178,179,57,2.456,network-based measurement,sensors,delays,,,,8.0
179,180,58,8.085,bandwidth,multicast protocols,routing protocols,peer to peer computing,,,294.0
180,181,59,1.0,hardware validation,mathematical optimization,quadratic uniformity model,routing and network design problems,,,27.0
181,182,60,2.528,data compression,arithmetic codes,cryptography ,,,,122.0
182,183,61,,fuzzy systems,search engines, information systems,web search,keyword search,,11.0
